Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,109.550003,109.699997,106.720001,107.730003,104.273979,4170700
2017-02-24,107.269997,108.669998,107.080002,108.620003,105.135422,2166400
2017-02-27,108.650002,109.739998,108.559998,109.510002,105.996864,1835200
2017-02-28,108.910004,110.620003,108.910004,109.489998,105.977501,2812500
2017-03-01,110.720001,111.779999,110.709999,111.220001,107.652016,2859800
2017-03-02,110.769997,111.230003,109.379997,109.540001,106.025902,2348400
2017-03-03,109.419998,111.010002,108.860001,110.830002,107.274521,1886800
2017-03-06,109.910004,111.059998,109.709999,110.839996,107.284195,1688700
2017-03-07,110.830002,110.949997,110.019997,110.239998,106.703445,1640000
2017-03-08,110.440002,111.309998,110.150002,110.470001,106.926064,1892600
2017-03-09,110.540001,110.900002,108.809998,109.580002,106.064629,2125600
2017-03-10,109.830002,110.000000,108.879997,109.919998,106.393723,1876800
2017-03-13,110.169998,110.669998,109.349998,109.879997,106.354996,1450700
2017-03-14,109.300003,109.589996,108.639999,109.209999,105.706490,1504100
2017-03-15,109.589996,111.320000,109.169998,110.790001,107.235809,2580000
2017-03-16,111.199997,111.269997,110.419998,110.730003,107.177727,1378900
2017-03-17,110.739998,111.110001,110.230003,110.449997,106.906715,4122200
2017-03-20,110.459999,111.190002,109.900002,110.879997,107.322922,1360200
2017-03-21,111.260002,111.489998,109.139999,109.610001,106.093666,2261800
2017-03-22,109.699997,110.239998,109.099998,109.769997,106.248535,1650600
2017-03-23,109.860001,110.709999,109.260002,109.529999,106.016228,1046500
2017-03-24,109.529999,110.239998,108.339996,108.980003,105.483879,1844700
2017-03-27,107.610001,107.989998,106.930000,107.160004,103.722260,3473100
2017-03-28,107.309998,108.540001,107.309998,108.330002,104.854721,1864900
2017-03-29,107.650002,108.330002,107.360001,108.180000,105.292725,1615000
2017-03-30,108.330002,109.430000,108.250000,109.169998,106.256294,1091300
2017-03-31,108.800003,109.870003,108.379997,108.860001,105.954567,2257900
2017-04-03,108.970001,109.260002,107.970001,108.779999,105.876694,1642000
2017-04-04,108.930000,109.629997,108.500000,109.500000,106.577484,1266700
2017-04-05,110.000000,111.040001,108.930000,109.250000,106.334152,1322800
2017-04-06,109.620003,110.889999,109.199997,110.440002,107.492401,1616300
2017-04-07,110.379997,110.839996,109.290001,109.320000,106.402290,1334700
2017-04-10,109.449997,110.209999,109.180000,109.629997,106.704010,1040200
2017-04-11,110.019997,111.379997,109.370003,111.160004,108.193184,2846700
2017-04-12,110.989998,111.199997,109.279999,109.349998,106.431488,2088200
2017-04-13,109.099998,109.570000,107.959999,108.000000,105.117523,2341200
2017-04-17,108.389999,108.989998,107.750000,108.800003,105.896172,1981400
2017-04-18,108.019997,108.879997,107.830002,108.470001,105.574974,1690500
2017-04-19,108.800003,108.989998,107.889999,108.220001,105.331650,1458200
2017-04-20,108.000000,109.150002,107.260002,108.800003,105.896172,2014000
2017-04-21,109.040001,109.470001,107.040001,107.540001,104.669792,2025100
2017-04-24,109.010002,110.589996,108.940002,110.250000,107.307472,2711400
2017-04-25,111.680000,114.129997,111.570000,113.150002,110.130066,3326100
2017-04-26,113.089996,113.779999,112.500000,112.550003,109.546089,2208100
2017-04-27,112.500000,112.680000,110.540001,111.180000,108.212639,2635100
2017-04-28,111.000000,111.860001,109.839996,111.610001,108.631157,2296200
2017-05-01,112.250000,112.790001,111.930000,111.970001,108.981560,1808400
2017-05-02,112.279999,112.940002,110.419998,110.930000,107.969322,2653300
2017-05-03,110.339996,111.000000,109.790001,110.790001,107.833061,2013100
2017-05-04,111.019997,112.089996,110.419998,112.029999,109.039955,3691000
2017-05-05,111.599998,113.139999,111.379997,113.110001,110.091133,1505800
2017-05-08,112.940002,113.129997,112.220001,112.639999,109.633682,1460400
2017-05-09,112.959999,114.040001,112.839996,113.580002,110.548599,2059700
2017-05-10,113.500000,114.169998,113.330002,113.550003,110.519402,2164900
2017-05-11,113.449997,114.129997,112.290001,113.470001,110.441528,1627000
2017-05-12,113.040001,113.180000,112.370003,113.110001,110.091133,1421400
2017-05-15,113.620003,113.970001,113.269997,113.800003,110.762718,2527900
2017-05-16,114.099998,114.959999,113.830002,114.800003,111.736031,3202000
2017-05-17,114.800003,114.800003,113.050003,113.230003,110.207932,2769900
2017-05-18,112.190002,113.519997,111.120003,112.669998,109.662872,3278700
2017-05-19,120.370003,122.239998,119.000000,120.900002,117.673218,11097700
2017-05-22,122.080002,122.500000,120.120003,121.709999,118.461601,4423500
2017-05-23,121.860001,122.650002,121.029999,122.129997,118.870392,3719400
2017-05-24,121.959999,122.820000,121.790001,122.779999,119.503052,1990100
2017-05-25,123.000000,123.430000,122.059998,122.430000,119.162384,2792200
2017-05-26,122.800003,123.589996,122.360001,122.790001,119.512787,2132000
2017-05-30,122.000000,122.650002,121.849998,122.260002,118.996933,3261600
2017-05-31,123.050003,123.209999,122.110001,122.459999,119.191582,2341900
2017-06-01,125.250000,125.980003,124.120003,124.699997,121.371796,4198000
2017-06-02,125.889999,126.000000,124.440002,124.910004,121.576210,2428400
2017-06-05,124.629997,126.440002,124.629997,125.330002,121.984985,2098400
2017-06-06,124.800003,125.750000,124.639999,125.050003,121.712456,2051300
2017-06-07,125.050003,125.669998,124.790001,125.290001,121.946060,2144800
2017-06-08,125.290001,126.290001,125.160004,126.000000,122.637100,2261800
2017-06-09,126.269997,127.040001,125.320000,125.949997,122.588432,2395400
2017-06-12,125.889999,126.400002,124.389999,126.000000,122.637100,1997300
2017-06-13,126.000000,126.650002,126.000000,126.419998,123.045891,1171200
2017-06-14,126.419998,126.550003,125.940002,126.430000,123.055626,1836700
2017-06-15,125.699997,126.550003,125.410004,126.370003,122.997231,3859900
2017-06-16,126.580002,128.210007,126.529999,127.900002,124.486397,4207100
